0	Female U.S.A 45-54 Ethnic-NativeAmerican NoDegree	they had a bit of fun zooming through the narrow course .	It was a bumpy, wet, excursion .
1	Female U.S.A 18-24 Caucasian Edu-AssociateDegree	but this was definitely the best dressed person at the party !	They went inside to play dress up .
0	Female U.S.A 18-24 SouthAsian Doctorate	we went downtown yesterday to walk around .	this is  man made waterfall
0	Male U.S.A 25-34 Caucasian Doctorate	the vehicles were lined up to marvel at .	I went to the car show .
0	Male U.S.A 35-44 African Master	violins we 're played to aid the ears of the participants .	To their individual parties, to celebrations in different areas .
1	Male U.S.A 35-44 African NoDegree	the speaker was unassuming but captivating .	Finally a black man approaches the podium and addresses the audience .
1	Female U.S.A 45-54 Caucasian Master	we went for a trip to the countryside .	As we drove through the countryside, we stopped at each historic marker we saw, so we could learn about the area .
1	Male U.S.A 25-34 Ethnic-NativeAmerican Master	afterward they all got up together for an encore .	THE SOME FUN IN THE LIGHT
1	Male U.S.A 18-24 Caucasian NoDegree	the weather had not gotten better in the last week .	The weather called for snow all week .
0	Male U.S.A 18-24 Other NoDegree	[male] has mentioned his new ring and the ladies want a closer look .	They just found out their son just got engaged .
0	Male U.S.A 25-34 African Bachelor	the campus was all quiet	The quiet campus stood still as he walked through it .
1	Female U.S.A 55-74 Caucasian HighSchool	the academy . side view .	The name of the academy is on the outside of the building
1	Male U.S.A 18-24 Caucasian NoDegree	furniture was present and wooden .	All the wooden furniture was hand crafted .
0	Non-binary U.S.A 25-34 Caucasian NoDegree	the people at the meeting are taking a test .	We were hungry and wanted to stop for some local fair, father jokingly led us to a testing site for residents .
1	Female U.S.A 45-54 Caucasian Edu-AssociateDegree	i was so happy that everyone had an awesome time .	Everyone was happy and had an awesome time at the party .
1	Male U.S.A 25-34 African HighSchool	the ladies were stunning that day .	Hey over here look at the bride .
0	Female U.S.A 55-74 Caucasian Doctorate	they carried some of the dancers on their shoulders .	!
0	Male U.S.A 25-34 Caucasian Master	their friends [female] and [male] are there with them .	Our male and female friends were ready to act .
0	Male U.K 35-44 Caucasian Edu-AssociateDegree	our annual costume party was a great hit and we took a lot of pictures starting with this one .	!
0	Male U.S.A 25-34 EastAsian Master	the tree was haunting and strange .	The trees give off a strange aura on haunting .
0	Female U.S.A 55-74 African NoDegree	and they have a nice dinner .	The family ate the BBQ dinner together and enjoyed one another's company .
1	Female U.S.A 18-24 Caucasian NoDegree	after i did that i took my wife to walk through downtown .	John and Maria wanted to see more of the scenic beauty this town had to offer .
1	Female U.S.A 18-24 Caucasian NoDegree	he started with meeting some military leaders .	They all looked their best at the military meeting .
0	Male U.S.A 12-17 Ethnic-NativeAmerican Master	they were delicious .	All the food turned out delicious and we had a great time .
0	Female U.S.A 35-44 Caucasian Master	we played in the sensory tubs .	Then we got out the sensory tubs and played .
0	Female U.S.A 25-34 HispanicOrLatino NoDegree	i ate some of the fruits off of the ceiling .	The fruits lit up the ceiling making them look even more enticing .
1	Female U.S.A 18-24 Other NoDegree	i blended the the cheese in with the rest of the ingredients .	Once you have your cheese grated , add the rest of the ingredients to a pan and sauce  once browned add cheese .
0	Female U.S.A 25-34 Caucasian Bachelor	the whole family gathered for the birthday present .	It was  wonderful to have the family gathered for my son'ssecond birthday .
1	Female U.S.A 35-44 Caucasian HighSchool	at the end | they just had to take a class photo to document another successful field trip .	She won a spot on the choir .
1	Female U.S.A 35-44 Caucasian NoDegree	a bus comes and picks up patients for appointments .	Our ride is here to pick us up .
1	Female U.S.A 18-24 Caucasian Bachelor	riding off in to the sunset to start a new life as husband and wife .	After the photos, the bride and groom made their way into their getaway car .
0	Male U.K 18-24 SouthAsian NurserySchoolTo8thGrade	everyone was all ears and listening .	The soldiers put on their listening ears .
1	Female U.S.A 18-24 Caucasian Bachelor	oh no | here comes the snow truck | as i jump out of the way | i get drenched not only with snow but two nice cold drinks .	A snow blow pushes snow off the road .
0	Male U.S.A 18-24 Caucasian HighSchool	[male] and [female] getting down with some organization wii .	Let the Easter fun begin .
1	Male U.S.A 25-34 Caucasian NoDegree	i had a really awesome time at the convention .	It was even fun to say goodbye .
1	Female U.S.A 25-34 Caucasian Bachelor	in the colorful district .	The district was full of colorful lights at night .
1	Male U.S.A 25-34 African HighSchool	many of us enjoyed a walk near the water .	My daughter loves playing with water with her tinny feets
0	Female U.S.A 18-24 EastAsian NoDegree	love these homes along the river .	I love all the homes built next to the river .
0	Female U.S.A 75YearsOrOlder Caucasian Master	i got to see the seven dwarfs .	There we saw statues of the Seven Dwarfs .
1	Female U.S.A 35-44 Caucasian HighSchool	at the end | they had fireworks of many different colors in the sky .	The finale draws gasps from the crowd with its beauty .
1	Female U.K 18-24 Other NoDegree	at the truck series and having a great time . looks like they are having problems with # 6 .	Its the race time in this series
1	Female U.S.A 35-44 Caucasian TradeOrTechnicalOrVocationalTraining	the military ceremony was honorable .	The military personnel met inside .
1	Male U.S.A 25-34 Caucasian Edu-AssociateDegree	family singing karaoke together .	At the end of the night the family sings happy birthday .
1	Male U.S.A 35-44 HispanicOrLatino Bachelor	they got along great	Why won't she put me down .
0	Female U.K 18-24 Caucasian Bachelor	the baby was very happy that day .	The grandma holds the new baby with such pride and joy .
0	Female U.S.A 35-44 MiddleEastern Bachelor	love these homes along the river .	There was home by the love river .
1	Male U.S.A 18-24 Caucasian Bachelor	it 's a birthday cake for [male] .	It was my friends thirty fifth birthday .
1	Female U.S.A 18-24 Caucasian Edu-AssociateDegree	location was well represented .	The tents are always well decorated .
0	Female U.S.A 25-34 African HighSchool	and shows their thoughts .	PEOPLE HAVE A BOARD
1	Male U.S.A 25-34 EastAsian Master	we were really excited to kick the night off .	We met up with Anna and Ben for drinks .
1	Male U.S.A 18-24 Ethnic-NativeAmerican Bachelor	i said my goodbyes and he entered the building .	just before they say goodbyes to be entered to the class building
0	Female U.S.A 18-24 HispanicOrLatino Bachelor	it was a great day .	It was truly a beautiful day .
0	Male U.S.A 25-34 African NoDegree	i had great fun last weekend for halloween .	This weekend was the fun Halloween party .
0	Male U.S.A 25-34 Caucasian Edu-AssociateDegree	there was so much energy and she really got the crowd moving !	Then he became a woman .
1	Female U.S.A 25-34 Caucasian Bachelor	the baby was just enjoying the sun today .	The baby enjoyed the sun
0	Male U.S.A 25-34 Other NoDegree	i went to the park one afternoon .	This park in Venice is absolutely beautiful .
0	Male U.S.A 18-24 Caucasian Edu-AssociateDegree	his parents waited anxiously ...	Amr waited with his parents anxiously for the news on his progress .
1	Female U.S.A 25-34 Caucasian NoDegree	different musicians walk the streets playing their music .	Musicians walk the street
1	Female U.S.A 55-74 Caucasian TradeOrTechnicalOrVocationalTraining	some of the best coffee you will drink is here | at the location location .	This location also had a great place to drink coffee .
0	Male U.K 35-44 Caucasian Edu-AssociateDegree	an experiment really .	Her friends, most of them, like to hear her jokes .
1	Female U.S.A 25-34 Caucasian NoDegree	later on she found something of mom 's to pay with	I even caught her trying to eat some paper once .
1	Female U.S.A 25-34 Caucasian Edu-AssociateDegree	the bride and groom were very happy .	Alfred and Eleanor were finally married, after many ups and downs .
0	Male U.S.A 45-54 Caucasian Master	today i stumbled upon this when i walked through my woods .	As we walked through the wood we come across an a historical area .
1	Female U.S.A 45-54 Caucasian Bachelor	there was a small house out there .	The house is fortified for the waves .
1	Female U.S.A 25-34 Caucasian SomeHighSchool,NoDiploma	people collected beads from passing parade floats .	People watched the parade passing by them on the street .
0	Female U.S.A 45-54 Caucasian Bachelor	today is their wedding day .	They were excited for their wedding .
1	Male U.S.A 25-34 Ethnic-NativeAmerican Master	at night there were a lot of lights on the pier .	IT IS A SUN SET
0	Female U.S.A 45-54 EastAsian TradeOrTechnicalOrVocationalTraining	and the bison are there too .	THE GOAT IN GREEN
0	Male U.S.A 25-34 Ethnic-CentralAsian Bachelor	today was the day [male] was going to meet up with some fellow bike riders for a race .	The riders were pedaling along, eager to get to the meet up and start the race .
0	Female U.S.A 18-24 HispanicOrLatino Edu-AssociateDegree	i saw a bird .	It's not rare to see birds of different variety .
1	Female U.S.A 45-54 Ethnic-NativeAmerican NoDegree	it seemed to be some kind of ceremony | and these guys just sat up front looking pretty .	They were waiting to perform .
1	Female U.S.A 25-34 Caucasian Edu-AssociateDegree	it was a lot of fun .	We will have a lot of fun .
1	Female U.S.A 25-34 Caucasian Bachelor	an evening walk before calling it a night .	But it's also nice to walk at night with a loved one for a romantic evening .
0	Female U.S.A 45-54 EastAsian TradeOrTechnicalOrVocationalTraining	near the big skyline .	Skyline of the city was a great view .
1	Female U.S.A 35-44 Caucasian NoDegree	a visit to sleeping beauty 's castle !	Groups of people walked towards the castle .
0	Male U.S.A 18-24 Caucasian SomeHighSchool,NoDiploma	there was a charity event and they had animals .	Today there was a charity event to raise money for endangered animals .
0	Male U.S.A 18-24 African HighSchool	me and my lovely husband walking down the aisle here .	The lovely bride was documented during the ceremony and walking back up the aisle with her new husband .
1	Male U.S.A 18-24 Caucasian Bachelor	later everyone sat down to digest the food .	After dinner everyone gathered for games .
1	Male U.S.A 55-74 African Bachelor	sad | to be here . i 'll come again next year .	When she stood her sadness was gone .
1	Female U.S.A 18-24 African NoDegree	tombstone mark the yard for some holiday fun .	There are tombstones in the yard .
0	Female U.S.A 18-24 Other NoDegree	they are so excited to see that their brother and son has graduated .	Everyone was so excited that their sons had graduated .
1	Female U.S.A 55-74 Caucasian Bachelor	it was so close to the cement blockade but it did n't quite reach it .	It appeared that the car had hit the wall, flipped and skidded on the roof .
1	Female U.S.A 25-34 Caucasian Master	there was no one in the car | thank goodness | but it looked pretty beat up .	Despite the severity of the crash, there was no blood or people in the car .
0	Female U.K 25-34 African HighSchool	the boat was parked parallel to the boat dock | as it waited for the family to climb aboard .	It has a lot of different parts that help to keep it running .
1	Female U.S.A 25-34 Caucasian HighSchool	and thank you for your service and for being here today .	It was for their hard work that they were praised .
1	Female U.S.A 18-24 Caucasian Bachelor	the swinging ride was lit up beautifully at night .	!
1	Female U.S.A 25-34 Other NoDegree	just cleaning half a floor filled up one of the giant trash bins outside .	With the help of renovations, now our hospital won't scare away the people who need us .
1	Female U.S.A 45-54 Caucasian Bachelor	the panel waited for [male] to make his speech on immigration .	This frame has no picture either, just a smaller square with a smaller x in it .
1	Male U.S.A 18-24 Caucasian NoDegree	papa smurf dwarfs the festival audience .	We enjoyed a time of watching a movie of the smurfs at night after the parade was over .
1	Male U.S.A 25-34 Ethnic-NativeAmerican Master	they are about to enter the town of location .	IT IS A TYRE
0	Male U.S.A 18-24 EastAsian HighSchool	i love my sunglasses | mom bought them for me .	The little boy with the sunglasses asked me if I could move so they could throw the ball .
1	Male U.K 25-34 Caucasian Bachelor	my family likes the . colorful displays best .	There was orange fireworks
0	Non-binary U.S.A 12-17 Ethnic-NativeAmerican NurserySchoolTo8thGrade	people played with their best effort .	Everyone played to their best efforts, just wanting to have some fun .
1	Female U.S.A 25-34 Caucasian TradeOrTechnicalOrVocationalTraining	we went to kids day at the army barracks	We played in the play area .
1	Male U.S.A 18-24 Caucasian NoDegree	here are the recipients waiting for their awards .	The recipients were waiting for their awards .
0	Female U.S.A 18-24 African NoDegree	the canal was the prettiest of all .	We saw some lovely water flowing down the canal
0	Female U.S.A 25-34 SouthAsian Master	and here we have a hawaiian dancer with greg and [male] having a great time .	In no time at all, the Grand Prize for Best Individual Costume went to Tricia in Quality Assurance, as the large male portion of the company appreciated her Hawaiian luau outfit .
1	Male U.S.A 18-24 Caucasian NoDegree	the brightly colored outdoor food court was almost empty probably because of the early hour .	If you want to enjoy it at all times, there is a beautiful outside patio .
1	Female U.S.A 25-34 African HighSchool	most of them had learn tolerance and acceptance .	The man began to talk to one of his relatives .
0	Female U.S.A 35-44 Caucasian HighSchool	they took some partner photos in the sun .	They loved taking pictures together under the sun .
1	Female U.S.A 35-44 Caucasian Edu-AssociateDegree	they were followed by the military | as they carried flags in .	The people waved and smiled proudly as the military carried their flags and marched by .
0	Male U.S.A 18-24 Caucasian Doctorate	he was actually pretty good at it !	They peeled potatoes, which was a lot of work .
1	Female U.S.A 45-54 Ethnic-NativeAmerican Master	i went to my first basketball game .	The game that night was basketball .
1	Female U.S.A 18-24 Caucasian NoDegree	later | she got bored while waiting for her diploma | so she decided to make a phone call .	She is on her phone while waiting for her diploma .
0	Female U.S.A 25-34 Caucasian NoDegree	the construction would be soon over .	They started moving materials on the field .
1	Female U.S.A 18-24 EastAsian NoDegree	everyone was enjoying drinks and having fun .	My friends were watching me as this guy was offering me the rose, and I think they were filming it on snapchat .
1	Female U.S.A 25-34 Other Bachelor	he has a nice pace .	!
1	Female U.S.A 55-74 African Edu-AssociateDegree	as it became darker my new friends left .	I finally get it when you don't know what the next hour or day holds for you .
0	Male U.S.A 25-34 SouthAsian Doctorate	finally we ended the day with food and swimming in the pool . everyone had fun .	!
0	Male U.K Under12 Ethnic-NativeAmerican NoDegree	i visited this local church many times .	Royalty probably has visited this local castle many times .
0	Female U.S.A 18-24 African NoDegree	and the view up there was amazing . nothing like what you would see in the city .	But the view of the city was amazing making the trek worthwhile .
1	Female U.S.A 25-34 African HighSchool	this is my first time catching the train and i am so excited .	A group of people wait patiently in the subway .
0	Male U.S.A 18-24 EastAsian Edu-AssociateDegree	the new grave site of a person recently buried .	I stood over his plot thinking on the all the wonderful times we had as I was growing up .
1	Male U.S.A 55-74 African Bachelor	the location . bean store has a very inviting entryway | much like a home .	The new LL Bean is at an inviting location .
1	Male U.S.A 18-24 Caucasian NoDegree	the family gathered around the boy as his father put him up on his shoulders .	He was on the shoulders of his father with his friends gathered around .
1	Female U.S.A 25-34 Ethnic-NativeAmerican Master	he was excited the minute he saw the snowfall on his home .	IT IS A SNOW AREA
1	Male U.S.A Under12 SouthAsian SomeHighSchool,NoDiploma	we took the kids to the fair at the local church . first up was a painting class .	The kids were doing painting in the class .
0	Female U.S.A 45-54 Caucasian NoDegree	the kitchen is spacious and has alot of counter space too	the entertainment had arrived
0	Male U.S.A 35-44 PacificIslander Edu-AssociateDegree	decided to take the kid out for an atv ride today .	Children decided to ride their bikes together .
1	Male U.S.A 25-34 Other HighSchool	it was clear that the entire atmosphere was very loving and cheerful .	All the family and friends of the bride and groom was so loving and cheerful the entire time
1	Female U.S.A 35-44 African NoDegree	the coach took a moment with his team to talk strategy .	Coach is fussing at players because they aren't using their unique talents
0	Female U.S.A 35-44 Other NoDegree	his dad was not overjoyed at the idea that walking him around might help .	Some fresh air with dad might help .
0	Male U.S.A 25-34 African NoDegree	ladies watching the show .	The ladies were watching all the going ons at the celebration .
1	Female U.S.A 25-34 HispanicOrLatino Bachelor	the bride makes her appearance | and she looks stunning !	The bride's father walked her down the isle .
0	Female U.S.A 35-44 Caucasian Master	at the end of the day | those in attendance took a group photo and we all had a good time .	When it was time to end, they took a photo at the end of the day .
0	Male U.S.A 35-44 African NoDegree	a fluffy bunny munching on the grass at the park .	IT IS A RABBIT
1	Female U.S.A 45-54 Caucasian TradeOrTechnicalOrVocationalTraining	she could n't believe that there was a sign on this house too . grandma said she wished she did come here . she liked the memories in here head better .	When she saw it vacant and with a sign posted she sighed and wished she had not, because it was so much nicer in her memories .
1	Male U.S.A 25-34 EastAsian Bachelor	we went out to a club to celebrate .	Later that evening, they were able to cut loose and celebrate with drinks .
0	Female U.S.A 35-44 African Edu-AssociateDegree	not a soul around for miles and miles	I kind of find myself weird looking at this  Looks like nobody lives here or something  I am not really sure but I have to keep moving .
1	Non-binary U.S.A 25-34 Caucasian Bachelor	the man in orange saw the man in green up ahead and pushed and pushed and pushed himself to reach his competitor .	!
